feature_id,GSM634633,GSM634634,GSM634635,GSM634636,GSM634637,GSM634638,GSM634639,GSM634640,GSM634641,GSM634642,GSM634643,GSM634644,GSM634645,GSM634646,GSM634647,GSM634648,GSM634649,GSM634650,GSM634651,GSM634652,GSM634653,GSM634654,GSM634655,GSM634656,GSM634657,GSM634658,GSM634659,GSM634660,GSM634661,GSM634662,GSM634663,GSM634664,GSM634665,GSM634666,GSM634667,GSM634668,GSM634669,GSM634670,GSM634671,GSM634672,GSM634673,GSM634674,GSM634675,GSM634676,GSM634677,GSM634678,GSM634679,GSM634680,GSM634681,GSM634682,GSM634683,GSM634684,GSM634685,GSM634686,GSM634687,GSM634688,GSM634689,GSM634690,GSM634691,GSM634692,GSM634693,GSM634694,GSM634695,GSM634696,GSM634697,GSM634698,GSM634699,GSM634700,GSM634701,GSM634702,GSM634703,GSM634704,GSM634705,GSM634706,GSM634707,GSM634708,GSM634709,GSM634710,GSM634711,GSM634712,GSM634713,GSM634714,GSM634715,GSM634716,GSM634717,GSM634718,GSM634719,GSM634720,GSM634721,GSM634722,GSM634723,GSM634724,GSM634725
ILMN_1651282,219.149,207.954,200.24,189.703,207.651,354.593,234.166,195.443,214.208,196.892,179.931,396.099,213.624,213.002,283.416,182.693,191.763,241.54,204.725,226.691,213.642,172.112,378.747,485.845,206.697,197.948,168.326,278.701,221.026,233.069,192.475,276.115,182.386,199.291,281.923,204.506,192.984,200.873,333.004,185.907,193.883,413.482,175.766,192.451,199.849,176.369,208.722,190.277,161.533,379.713,338.917,230.345,199.836,221.196,245.764,178.629,186.158,510.985,252.759,215.319,240.03,203.11,500.061,195.119,202.532,398.733,167.934,208.055,275.76,218.077,211.866,221.013,213.316,339.39,209.625,344.268,175.977,199.654,200.878,236.701,1571.904,240.282,408.825,295.433,219.412,209.945,274.254,190.354,208.291,211.167,329.89,193.528,259.854
ILMN_1651285,205.276,199.148,202.091,262.627,199.397,232.757,192.24,184.897,197.605,252.783,241.971,250.522,215.411,238.192,225.632,244.715,253.433,227.123,229.894,224.065,206.414,214.229,230.595,202.739,215.493,328.101,221.454,247.597,222.614,239.692,294.173,237.511,231.451,213.124,204.505,192.213,224.656,259.209,159.772,184.904,206.468,228.607,251.439,213.309,200.575,214.113,197.989,221.301,193.137,215.361,199.694,186.998,273.776,308.416,269.613,204.717,216.333,232.237,226.566,202.146,206.862,237.136,256.778,237.034,201.063,283.582,227.787,222.966,248.572,238.445,206.504,248.422,211.246,216.511,201.933,225.398,245.362,204.92,262.627,203.107,215.479,199.351,189.569,189.845,227.925,218.015,216.25,197.587,217.742,233.858,203.036,197.145,231.264
ILMN_1651292,183.708,195.4,160.045,169.938,162.005,175.66,155.466,169.544,174.041,182.106,177.966,166.529,195.69,183.538,148.784,185.72,159.666,183.919,175.196,168.007,151.59,174.728,170.632,179.568,174.228,212.658,150.613,180.531,204.143,214.93,159.251,169.437,175.833,177.279,162.609,216.081,152.203,177.327,157.656,203.144,182.372,189.471,160.195,171.142,167.815,158.331,189.83,190.858,172.442,209.56,176.609,191.135,186.722,168.274,167.44,145.722,175.277,180.186,170.002,161.7,169.231,175.779,160.672,171.123,182.199,161.881,164.404,157.127,169.155,155.501,164.364,184.545,173.105,162.264,172.643,169.841,180.783,191.786,129.846,142.874,178.49,172.917,155.311,180.755,192.346,153.646,171.128,197.726,153.767,181.202,192.24,177.558,151.742
ILMN_1651303,164.206,161.504,164.722,179.302,160.037,159.977,174.161,156.111,150.717,136.917,157.653,174.784,186.06,186.939,187.477,161.219,170.421,154.239,172.515,174.149,180.891,151.151,179.606,169.758,175.421,168.491,178.306,149.382,155.857,161.177,149.596,179.733,171.027,147.079,172.837,166.012,167.316,165.015,144.802,156.374,178.712,164.717,178.683,178.306,170.684,172.014,190.021,156.707,192.083,194.314,155.311,163.954,181.908,154.039,150.892,177.089,157.156,170.564,197.799,148.701,172.977,163.126,150.59,160.909,182.18,167.338,174.893,170.895,189.996,172.848,157.127,162.796,178.536,163.558,159.59,187.829,158.227,160.097,173.82,161.365,151.542,164.141,204.276,161.18,154.234,164.927,168.012,191.23,174.079,164.359,181.227,139.012,157.661
ILMN_1651309,151.694,165.852,140.619,152.45,132.051,160.074,141.619,144.133,151.869,159.224,149.47,160.735,120.982,151.351,149.692,149.781,135.72,144.579,131.867,153.272,155.59,177.083,141.602,133.024,159.558,167.365,168.661,152.955,148.456,138.951,142.691,157.003,147.873,144.935,152.63,183.077,133.766,148.831,170.767,166.828,149.524,146.063,167.417,150.435,150.333,148.13,162.17,147.445,142.702,148.634,145.254,166.555,147.682,173.845,152.875,156.213,156.715,141.037,138.951,132.704,133.583,163.558,158.861,159.104,146.868,166.735,160.338,125.855,150.635,154.564,178.204,137.602,136.979,133.777,194.523,143.457,134.443,139.72,180.661,147.924,144.354,128.05,142.715,160.854,153.785,147.008,154.085,163.384,138.593,162.208,165.263,153.776,158.914
ILMN_1651315,1291.48,2421.017,1207.635,1175.691,1264.525,1678.329,1265.983,1715.659,1137.014,1495.673,1242.707,1695.215,1097.572,1529.611,1545.91,1245.821,1315.055,1688.652,1570.891,1873.171,1458.847,1234.656,1546.982,1644.402,1463.519,1656.14,1291.099,1102.216,1532.639,1407.353,1680.207,1648.461,1267.635,1538.231,1631.964,1388.988,1052.796,1534.817,1607.425,1563.122,1230.869,1594.469,1352.87,1314.278,1550.845,1286.12,1338.761,2263.613,1488.226,1719.574,2026.933,1489.912,2044.12,1377.705,1589.501,1811.599,1305.046,1327.219,1687.347,1527.486,1930.246,1464.036,2097.399,1652.858,1252.746,1246.244,1883.342,1475.747,1188.26,1464.036,1223.363,1510.583,1158.366,1321.445,1197.905,1351.999,1084.695,1362.007,1014.727,1331.952,1853.909,1630.714,1563.122,1379.217,1209.595,1410.091,1696.941,1497.244,1263.741,1932.676,1580.473,1237.97,1589.501
ILMN_1651336,393.904,378.926,379.805,381.407,408.059,435.606,368.827,322.709,349.536,458.392,383.252,373.012,441.818,442.528,398.796,436.439,395.518,441.164,398.796,307.195,397.359,419.404,342.035,445.625,409.692,410.317,452.99,340.14,445.417,418.548,370.671,366.038,359.051,376.497,382.857,483.32,423.616,405.779,453.204,445.722,400.661,373.327,380.406,338.125,423.247,465.008,399.959,340.023,425.65,468.662,329.306,401.188,406.568,395.939,420.652,410.703,430.573,407.124,475.1,358.24,363.494,394.074,353.13,389.356,305.495,417.609,328.54,423.331,371.091,345.053,363.494,411.953,398.466,384.952,325.757,379.429,377.29,351.051,371.023,426.915,426.798,388.641,445.226,333.045,347.8,410.703,329.182,390.591,380.317,365.211,382.34,354.395,407.039
ILMN_1651343,170.028,187.345,165.411,163.772,146.315,142.08,153.47,163.952,142.544,159.253,137.618,162.194,143.042,160.134,145.843,127.716,147.875,138.899,155.176,147.599,151.654,162.602,137.749,169.47,150.532,145.434,162.275,143.768,145.22,139.233,140.417,140.612,175.992,164.593,151.281,141.178,149.793,149.589,145.411,146.335,148.013,148.629,157.004,146.43,150.061,143.176,149.103,142.417,154.627,147.613,149.015,145.01,144.513,166.691,146.677,162.79,157.939,156.881,133.918,146.319,141.547,154.064,148.437,150.842,148.645,154.576,139.203,154.308,160.536,156.119,153.132,159.082,146.741,142.554,179.461,150.203,161.619,158.305,162.881,163.209,161.105,165.829,150.743,158.728,133.063,138.276,143.308,148.749,160.047,159.094,134.71,149.201,141.757
ILMN_1651346,1301.599,1081.064,1335.086,1145.897,1222.218,2068.588,1331.591,1846.192,1097.572,1566.927,1163.931,1480.716,1376.842,1026.862,854.301,1326.326,1091.206,1355.947,1953.222,1333.806,1390.026,1056.529,1008.597,884.395,1868.735,1193.578,1374.545,1204.502,2183.843,1663.786,1636.306,1349.448,932.323,1310.042,1562.584,1700.142,1264.139,894.745,980.169,1055.533,1279.402,1448.964,1520.87,1264.525,1566.418,1466.709,1207.635,1817.255,1496.184,1907.157,1603.561,1075.136,1706.441,1412.063,1661.889,1510.031,1577.609,1557.882,1776.457,1163.617,807.183,1237.562,1188.635,1178.829,878.363,1169.39,1783.115,1741.419,1153.047,1248.814,1554.613,1515.51,1021.491,1391.829,1212.17,1550.845,1049.858,1455.791,1384.648,1222.633,1609.974,1128.994,1374.545,1056.204,1075.779,1506.04,1089.851,1069.839,1241.147,1187.516,1257.313,1125.195,1353.808
ILMN_1651347,4322.863,4170.326,3239.779,3744.627,4371.188,4364.151,3338.293,3638.109,3397.815,3803.454,3709.6,3353.343,3950.615,3817.093,4630.867,3746.486,3777.206,4121.739,4072.648,4706.469,3492.421,3777.206,3902.029,5311.296,3636.122,3415.335,3430.342,3819.657,3533.902,4008.92,4008.92,4297.115,3124.78,4726.411,4127.846,3938.728,3701.662,4441.732,4584.583,4280.759,4092.598,3098.999,3944.383,3496.572,3382.604,4040.417,3953.803,2992.696,3899.222,4271.167,3323.788,3764.329,4511.158,3365.739,3971.375,4791.221,3838.307,3659.814,3558.907,3664.541,3979.844,3338.293,3182.303,3991.801,4081.503,3508.317,3419.422,3498.534,3872.399,3858.962,3317.75,3757.01,4233.9,3709.6,4118.658,4179.505,3432.3,3587.318,4710.236,4906.645,4485.164,3054.37,4006.056,3828.198,3649.861,3041.738,3587.318,3633.498,4118.658,4371.188,3088.156,4277.217,3724.712
