status,method_id,n_jobs,mean_total_seconds,max_total_seconds
DONE,glmnet_enet,800,10.2673374053836,18.5521059036255
DONE,knn_euclidean,800,9.48341843128204,17.7189385890961
DONE,majority,800,9.15705906659365,17.9317173957825
DONE,ranger_rf,800,9.55455746173859,18.1142883300781
DONE,rpart_tree,800,9.54012810945511,18.0867748260498
DONE,rrf_ranktreeensemble,800,11.1208443909883,20.1761960983276
DONE,svm_linear,800,9.56880382806063,17.96635389328
DONE,switchbox_ktsp,800,9.20847341448069,17.8405632972717
DONE,switchbox_tsp,800,10.2605054822564,18.951388835907
DONE,tspdt_bigtsp,800,29.2538293492794,44.6199719905853
DONE,xgboost_shallow,800,9.57287154823542,17.99467420578
