dataset_id,majority,switchbox_tsp,switchbox_ktsp,tspdt_bigtsp,rrf_ranktreeensemble,glmnet_enet,svm_linear,knn_euclidean,rpart_tree,ranger_rf,xgboost_shallow
GDS2771,0.5,0.609131313131313,0.658257575757576,0.662924242424242,0.579116161616162,0.712888888888889,0.712176767676768,0.701863636363636,0.617353535353535,0.736717171717172,0.682843434343434
GSE10072,0.5,0.96175,0.970083333333333,0.934583333333333,0.571666666666667,0.97675,0.975083333333333,0.97975,0.93875,0.980916666666667,0.9515
GSE17920,0.5,0.557666666666667,0.504583333333333,0.553,0.612805555555556,0.556638888888889,0.558722222222222,0.550444444444445,0.662944444444445,0.673083333333333,0.650361111111111
GSE19804,0.5,0.945833333333333,0.9375,0.908333333333333,0.898333333333333,0.953333333333333,0.9175,0.946666666666667,0.921666666666667,0.9525,0.9425
GSE25837,0.5,0.566428571428571,0.349047619047619,0.453095238095238,0.488452380952381,0.5,0.527619047619048,0.465714285714286,0.428809523809524,0.498095238095238,0.482380952380952
GSE27272,0.5,0.503987179487179,0.431570512820513,0.458410256410256,0.481416666666667,0.497455128205128,0.545403846153846,0.467019230769231,0.515435897435897,0.504480769230769,0.501564102564103
GSE3365,0.5,0.830458333333333,0.824291666666667,0.8385,0.783486111111111,0.942222222222222,0.930152777777778,0.811875,0.822819444444445,0.841472222222222,0.857555555555556
GSE6613,0.5,0.494833333333333,0.614333333333333,0.556333333333333,0.470333333333333,0.519,0.552333333333333,0.597,0.483666666666667,0.532666666666667,0.525333333333333
