method_id,dataset_id,n_jobs,mean_train_seconds,mean_predict_seconds,mean_total_seconds,max_total_seconds,sum_total_seconds
py_reos,GDS2771,100,8.32826047897339,0.0857694053649902,120.2385499548912,135.68594074249268,12023.85499548912
py_reos,GSE10072,100,8.090068092346192,0.08962489366531369,112.40113914966584,124.34756994247437,11240.113914966583
py_reos,GSE17920,100,8.745330250263214,0.09209882020950312,978.9912714552879,1020.924924135208,97899.1271455288
py_reos,GSE19804,100,8.263233461380004,0.09440455675125117,968.2604736304284,1010.0736198425292,96826.04736304283
py_reos,GSE25837,100,8.425819175243378,0.08879684209823605,79.78149276971817,86.59010982513428,7978.149276971817
py_reos,GSE27272,100,8.745336577892303,0.08813397645950313,146.09706330776214,159.16437768936157,14609.706330776215
py_reos,GSE3365,100,8.485132255554198,0.08549977540969846,114.87671445131302,128.7868583202362,11487.671445131302
py_reos,GSE6613,100,8.556134915351867,0.0875100946426391,113.54843645811081,121.91325664520264,11354.843645811081
py_reos_svm,GDS2771,100,8.415348978042603,0.09019679069519039,118.14949289083481,131.50907945632937,11814.94928908348
py_reos_svm,GSE10072,100,8.121255874633789,0.09767398595809933,110.67907609462738,118.47806024551392,11067.907609462738
py_reos_svm,GSE17920,100,8.708940651416778,0.0997028303146362,974.267745950222,1019.0260515213012,97426.7745950222
py_reos_svm,GSE19804,100,8.223259098529816,0.09569674730300898,963.745096642971,1009.0947015285492,96374.5096642971
py_reos_svm,GSE25837,100,8.367859120368957,0.0938286757469177,78.38747429609299,83.65259552001953,7838.747429609299
py_reos_svm,GSE27272,100,8.40033285856247,0.09308383941650385,147.7499257850647,160.20862102508545,14774.99257850647
py_reos_svm,GSE3365,100,8.357566759586334,0.09314649343490597,116.0223511648178,124.62912034988403,11602.235116481781
py_reos_svm,GSE6613,100,7.644556150436402,0.08244811296463009,107.13201328516007,121.42715406417848,10713.201328516006
py_tsp,GDS2771,100,0.5294357657432556,0.0769703125953674,120.55138827800751,127.94617009162904,12055.13882780075
py_tsp,GSE10072,100,0.5618787002563477,0.07736677169799801,109.91717560768127,121.60793948173524,10991.717560768127
py_tsp,GSE17920,100,0.5490462756156922,0.08587169885635372,978.4042624282837,1016.5886301994324,97840.42624282837
py_tsp,GSE19804,100,0.5343128371238709,0.08757372140884395,975.8638597130775,1009.9271738529204,97586.38597130775
py_tsp,GSE25837,100,0.5623854565620422,0.08685402870178219,87.30558444261551,110.95331287384032,8730.55844426155
py_tsp,GSE27272,100,0.5652233815193176,0.0868925261497497,137.90953572273256,149.26137518882751,13790.953572273254
py_tsp,GSE3365,100,0.5584858703613281,0.07935542583465571,114.77251509428024,127.98986339569092,11477.251509428024
py_tsp,GSE6613,100,0.568987648487091,0.08410336732864376,110.27235314130783,119.55587339401244,11027.235314130783
py_tsp_rf,GDS2771,100,0.7404357886314392,0.10872760772705074,112.32521861791611,122.5211889743805,11232.52186179161
py_tsp_rf,GSE10072,100,0.7457261657714844,0.10900562524795529,108.96984501838683,123.57535362243652,10896.984501838684
py_tsp_rf,GSE17920,100,0.7690777969360352,0.11859741449356076,972.8736320710182,1008.9960346221924,97287.36320710182
py_tsp_rf,GSE19804,100,0.7632330656051636,0.11687995433807369,973.9832418489456,1014.459068775177,97398.32418489456
py_tsp_rf,GSE25837,100,0.7750921511650085,0.11714300155639645,74.13206919908524,82.28255414962769,7413.206919908524
py_tsp_rf,GSE27272,100,0.7755818963050842,0.11376214981079098,139.45432749032975,152.3763768672943,13945.432749032974
py_tsp_rf,GSE3365,100,0.7667837643623352,0.11371488809585567,110.91096012830734,125.72175526618958,11091.096012830734
py_tsp_rf,GSE6613,100,0.7674317383766174,0.11030419111251827,108.9309020447731,118.0250506401062,10893.09020447731
py_tsp_svm,GDS2771,100,0.5719633388519287,0.08545357942581172,116.66728709936142,125.1120171546936,11666.728709936142
py_tsp_svm,GSE10072,100,0.573274495601654,0.09449086666107172,109.30246378183365,123.33149790763856,10930.246378183365
py_tsp_svm,GSE17920,100,0.5575636315345764,0.09739058971405026,973.3251694083214,1012.3326785564424,97332.51694083214
py_tsp_svm,GSE19804,100,0.5660137701034545,0.10031697273254389,973.0458271002769,1012.8866741657256,97304.5827100277
py_tsp_svm,GSE25837,100,0.5872759938240051,0.09275870800018306,73.138115773201,82.88435769081116,7313.811577320099
py_tsp_svm,GSE27272,100,0.6001563954353333,0.09433923006057734,138.24914273262024,149.52569723129272,13824.914273262024
py_tsp_svm,GSE3365,100,0.5694461393356324,0.08949124097824093,111.03059794187546,124.34671354293825,11103.059794187546
py_tsp_svm,GSE6613,100,0.5857597398757934,0.0942903637886047,110.10474919080734,119.83647799491882,11010.474919080734
