dataset_id,method_id,source_group,accuracy,balanced_accuracy,macro_f1,mcc,rank_balanced_accuracy
GDS2771,ranger_rf,r_classical_reference,0.744815789473684,0.736717171717172,0.733488453563208,0.502513470508429,1.0
GSE10072,ranger_rf,r_classical_reference,0.982434343434343,0.980916666666667,0.981701354201354,0.967189841703329,1.0
GSE17920,ranger_rf,r_classical_reference,0.80032967032967,0.673083333333333,0.680808658183473,0.457513548286342,1.0
GSE19804,pyrrm_knn5,pyrrm_relational_knn,0.9558333333333332,0.9558333333333334,0.9554748584748584,0.9172536110184808,1.0
GSE25837,switchbox_tsp,r_relational,0.482111111111111,0.566428571428571,0.454088314463314,0.125522841047827,1.0
GSE27272,svm_linear,r_classical_reference,0.637463020295838,0.545403846153846,0.53751152422582,0.0926587972097261,1.0
GSE3365,glmnet_enet,r_classical_reference,0.944716117216117,0.942222222222222,0.937427544935285,0.884801316553602,1.0
GSE6613,switchbox_ktsp,r_relational,0.605545454545454,0.614333333333333,0.582548423798424,0.261260878927875,1.0
