dataset_id,method_id,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std,n_pairs_mean
GDS2771,py_reos,0.641078947368421,0.10231920933698256,0.6333181818181819,0.10266209693491679,0.6234336370411817,0.11021497485685731,0.2855844743554554,0.2183947558995101,25.0
GDS2771,py_reos_svm,0.6922894736842105,0.10110559746842455,0.6889949494949495,0.10131751748291966,0.6860416335392072,0.10323559138674047,0.3877979544177397,0.20575550687400246,25.0
GDS2771,py_tsp,0.6194736842105263,0.08978196881928942,0.6189090909090909,0.09064471187586307,0.6111611428953332,0.09359273072644077,0.2466742379200594,0.1846308076158168,1.0
GDS2771,py_tsp_rf,0.6918421052631579,0.10213760812273222,0.6831565656565657,0.10455466829830623,0.6754735761800306,0.11144344934026773,0.39329849802452144,0.22006444264354666,50.0
GDS2771,py_tsp_svm,0.6922894736842105,0.10110559746842455,0.6889949494949495,0.10131751748291966,0.6860416335392072,0.10323559138674047,0.3877979544177397,0.20575550687400246,25.0
GSE10072,py_reos,0.9682121212121213,0.055480550605667964,0.9674166666666667,0.05695331293345908,0.9674644244644245,0.05694866452191079,0.9403535303923288,0.10562540305872109,25.0
GSE10072,py_reos_svm,0.9603535353535354,0.057414228976410284,0.9599166666666668,0.058431795209098455,0.9594025974025975,0.05912895083946122,0.9269009792881387,0.10578983641912501,25.0
GSE10072,py_tsp,0.938969696969697,0.06686782376603453,0.9392499999999999,0.06638508505226294,0.9378050838050838,0.06830618675786727,0.8877940614406381,0.12287914639396276,1.0
GSE10072,py_tsp_rf,0.9705353535353535,0.05052689151248493,0.9695833333333332,0.052496258751843584,0.9697499444999446,0.052126909016709876,0.9450089859290126,0.09484297887593958,50.0
GSE10072,py_tsp_svm,0.9613535353535353,0.05422683529045867,0.9610833333333333,0.05507436814831402,0.9605428737928737,0.0556404171398121,0.9284079406650468,0.1007326718787402,25.0
GSE17920,py_reos,0.5373168498168499,0.13073063770210028,0.5513888888888888,0.1423970520725674,0.5116865061752832,0.13016075625236298,0.09722052766120912,0.26525962432927563,25.0
GSE17920,py_reos_svm,0.6864194139194139,0.10907759575473105,0.5915,0.1358591084315235,0.5806477132146806,0.14468204678109986,0.19446325824845428,0.29505335540422356,25.0
GSE17920,py_tsp,0.5987454212454213,0.12170870877798927,0.5908333333333333,0.14503489137333567,0.5591750702427947,0.1296826931805227,0.17260883528988719,0.2745988554785557,1.0
GSE17920,py_tsp_rf,0.7132326007326008,0.09822493935749416,0.5698055555555556,0.1158579574792373,0.5512903408641732,0.14834644469554684,0.18320750984689715,0.2977385834063053,50.0
GSE17920,py_tsp_svm,0.6864194139194139,0.10907759575473105,0.5915,0.1358591084315235,0.5806477132146806,0.14468204678109986,0.19446325824845428,0.29505335540422356,25.0
GSE19804,py_reos,0.9425,0.07272069625147753,0.9425,0.07272069625147753,0.9416823176823176,0.07405129679432516,0.8927963863354705,0.13623705575299686,25.0
GSE19804,py_reos_svm,0.9366666666666668,0.08043791479721987,0.9366666666666668,0.08043791479721987,0.9358081918081917,0.08171419712133948,0.881389779939498,0.1530293490367638,25.0
GSE19804,py_tsp,0.9166666666666667,0.08703882797784893,0.9166666666666667,0.08703882797784894,0.9157752247752248,0.08820332199223035,0.8414401701843047,0.16890710200329873,1.0
GSE19804,py_tsp_rf,0.9366666666666668,0.07118525175441938,0.9366666666666668,0.07118525175441935,0.9358558108558108,0.0724190076884695,0.8815527830212679,0.13397366186287807,50.0
GSE19804,py_tsp_svm,0.9208333333333333,0.08065998107921432,0.9208333333333334,0.08065998107921434,0.9196843156843157,0.0823820177126899,0.8512414971783082,0.15244459533598242,25.0
GSE25837,py_reos,0.3898888888888889,0.1324238999876576,0.41607142857142854,0.15323622675357976,0.3599291819291819,0.1225650109124807,-0.15209547220421055,0.2795627358732852,25.0
GSE25837,py_reos_svm,0.5982222222222222,0.15114576746578387,0.45416666666666666,0.16000905250222192,0.4437102366587661,0.1563019012109706,-0.08857044211513994,0.3206317729054226,25.0
GSE25837,py_tsp,0.4077777777777778,0.13448344222968267,0.3995238095238095,0.12661517468287084,0.35539449439449433,0.10682667724294899,-0.18650527003856598,0.23655886794169997,1.0
GSE25837,py_tsp_rf,0.7245555555555555,0.07896788697289686,0.48357142857142854,0.05797109011583893,0.4254270631329454,0.06056381077884946,-0.04051760019597179,0.142554360200287,50.0
GSE25837,py_tsp_svm,0.5982222222222222,0.15114576746578387,0.45416666666666666,0.16000905250222192,0.4437102366587661,0.1563019012109706,-0.08857044211513994,0.3206317729054226,25.0
GSE27272,py_reos,0.43275885792913654,0.11255686991081666,0.38582051282051283,0.10278935863690158,0.373145679788858,0.09561368624384944,-0.22051970834589443,0.19471689832105243,25.0
GSE27272,py_reos_svm,0.5626504987960097,0.1034727135415681,0.4457371794871795,0.09903024695009212,0.43356970651903304,0.10017377487516417,-0.11118582421047211,0.2143692916261444,25.0
GSE27272,py_tsp,0.4664809081527348,0.1028694593566655,0.4352884615384615,0.10217885978436776,0.41999639045630344,0.09734549136293252,-0.12338967570546584,0.1936925622353577,1.0
GSE27272,py_tsp_rf,0.6741279669762642,0.044220849510629955,0.4855576923076923,0.03810085727267178,0.41308120552252925,0.04518163414126984,-0.04971101353293778,0.1333263382214145,50.0
GSE27272,py_tsp_svm,0.5626504987960097,0.1034727135415681,0.4457371794871795,0.09903024695009212,0.43356970651903304,0.10017377487516417,-0.11118582421047211,0.2143692916261444,25.0
GSE3365,py_reos,0.7663736263736264,0.11176279548352584,0.8050138888888888,0.10175747368249262,0.7596094191755957,0.11142536116206214,0.5870885232140383,0.19550850714322238,25.0
GSE3365,py_reos_svm,0.8620970695970697,0.0973939482204025,0.847125,0.10685490351978576,0.8440939050199886,0.10738199462885954,0.7063756874680306,0.20909427526044605,25.0
GSE3365,py_tsp,0.836007326007326,0.10743751776795157,0.8653888888888889,0.09365274395835417,0.8296119770752124,0.10897053194214709,0.7060741178721799,0.18307338461028438,1.0
GSE3365,py_tsp_rf,0.8793315018315019,0.0827147791908325,0.8596388888888888,0.09835891938873473,0.8592879731637472,0.09665553635478068,0.741106895866006,0.17966633743076282,50.0
GSE3365,py_tsp_svm,0.8620970695970697,0.0973939482204025,0.847125,0.10685490351978576,0.8440939050199886,0.10738199462885954,0.7063756874680306,0.20909427526044605,25.0
GSE6613,py_reos,0.5526363636363636,0.11347404384967645,0.5646666666666667,0.1141326536371718,0.515074161949162,0.12455035842457612,0.1714294783762038,0.2713361369425458,25.0
GSE6613,py_reos_svm,0.4978181818181818,0.135186964924259,0.4975,0.1358428607924716,0.48524345099345095,0.13611913358676017,-0.0004479580313993992,0.2861243576889399,25.0
GSE6613,py_tsp,0.518,0.13310135090783368,0.5246666666666667,0.1337636154790912,0.4896095987345987,0.1425786048374535,0.06016810853984572,0.2971238769303675,1.0
GSE6613,py_tsp_rf,0.5127272727272727,0.13981252279753992,0.5131666666666667,0.1407909156530181,0.49603249528249527,0.14303855568042284,0.03458407881951543,0.30182510003440555,50.0
GSE6613,py_tsp_svm,0.4978181818181818,0.135186964924259,0.4975,0.1358428607924716,0.48524345099345095,0.13611913358676017,-0.0004479580313993992,0.2861243576889399,25.0
