dataset_id,method_id,family,n_jobs,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std,rank_balanced_accuracy
GDS2771,py_tsp_rf,python_gene_pair,25,0.6917948717948719,0.07994036035113523,0.684968253968254,0.07922402478498937,0.6815608867406918,0.0819510728671774,0.3886015913724697,0.1648325581275896,5.0
GSE10072,pyrrm_knn5,pyrrm,25,0.9812121212121212,0.030217359831175794,0.9803232323232324,0.03172199667347155,0.9809381148517506,0.03069152330941409,0.9635691467453209,0.05876488611609934,4.0
GSE17920,switchbox_tsp,R,25,0.5784615384615384,0.08705685190443564,0.5801482873851296,0.08588702381567305,0.5488189204809197,0.08042063593011474,0.15107415713435027,0.15825171578178773,5.0
GSE19804,py_reos,python_gene_pair,25,0.9583333333333333,0.03402069087198859,0.9583333333333333,0.03402069087198857,0.9582432350258437,0.03410261554226843,0.9192528340222806,0.06662712183444944,1.0
GSE25837,rrf_ranktreeensemble,R,25,0.6501754385964914,0.163677148536936,0.4878571428571428,0.10516022760239625,0.4282531227797707,0.09924297987899049,-0.02899909457212886,0.19475980352243225,5.0
GSE27272,py_reos,python_gene_pair,25,0.4753753753753754,0.07434233257736587,0.5399244755244755,0.11573414763478225,0.4632188263758629,0.07869841430360446,0.09012590192069742,0.23325053608678661,2.0
GSE3365,py_tsp_rf,python_gene_pair,25,0.8806153846153846,0.06492599337233598,0.8664052287581699,0.07553420864460272,0.8644193517363895,0.07438473395473877,0.7391627989395901,0.14336244835564627,4.0
GSE6613,py_reos_svm,python_gene_pair,25,0.6228571428571429,0.1107590795201239,0.6214545454545455,0.11218405282387059,0.617859558019741,0.11190860668489376,0.24919331765953576,0.22932190804051414,1.0
