dataset_id,method_id,balanced_accuracy,accuracy,macro_f1,mcc
GDS2771,tspdt_bigtsp,0.662924242424242,0.664684210526316,0.658688801310638,0.334502660506888
GSE10072,switchbox_ktsp,0.970083333333333,0.971141414141414,0.970403790653791,0.945166625792688
GSE17920,rrf_ranktreeensemble,0.612805555555556,0.649441391941392,0.592208853367135,0.222701243716518
GSE19804,switchbox_tsp,0.945833333333333,0.945833333333333,0.945343656343656,0.897379289685721
GSE25837,switchbox_tsp,0.566428571428571,0.482111111111111,0.454088314463314,0.125522841047827
GSE27272,switchbox_tsp,0.503987179487179,0.458949088407293,0.435286278201839,0.0182447581778966
GSE3365,tspdt_bigtsp,0.8385,0.85978021978022,0.836915457478538,0.697392685967963
GSE6613,switchbox_ktsp,0.614333333333333,0.605545454545454,0.582548423798424,0.261260878927875
