dataset_id,method_id,balanced_accuracy,accuracy,macro_f1,mcc
GDS2771,ranger_rf,0.736717171717172,0.744815789473684,0.733488453563208,0.502513470508429
GSE10072,ranger_rf,0.980916666666667,0.982434343434343,0.981701354201354,0.967189841703329
GSE17920,ranger_rf,0.673083333333333,0.80032967032967,0.680808658183473,0.457513548286342
GSE19804,glmnet_enet,0.953333333333333,0.953333333333333,0.952675990675991,0.913462626151654
GSE25837,switchbox_tsp,0.566428571428571,0.482111111111111,0.454088314463314,0.125522841047827
GSE27272,svm_linear,0.545403846153846,0.637463020295838,0.53751152422582,0.0926587972097261
GSE3365,glmnet_enet,0.942222222222222,0.944716117216117,0.937427544935285,0.884801316553602
GSE6613,switchbox_ktsp,0.614333333333333,0.605545454545454,0.582548423798424,0.261260878927875
