dataset_id,method_id,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std,n_pairs_mean
GDS2771,py_reos_svm,0.6922894736842105,0.10110559746842455,0.6889949494949495,0.10131751748291966,0.6860416335392072,0.10323559138674047,0.3877979544177397,0.20575550687400246,25.0
GSE10072,py_tsp_rf,0.9705353535353535,0.05052689151248493,0.9695833333333332,0.052496258751843584,0.9697499444999446,0.052126909016709876,0.9450089859290126,0.09484297887593958,50.0
GSE17920,py_reos_svm,0.6864194139194139,0.10907759575473105,0.5915,0.1358591084315235,0.5806477132146806,0.14468204678109986,0.19446325824845428,0.29505335540422356,25.0
GSE19804,py_reos,0.9425,0.07272069625147753,0.9425,0.07272069625147753,0.9416823176823176,0.07405129679432516,0.8927963863354705,0.13623705575299686,25.0
GSE25837,py_tsp_rf,0.7245555555555555,0.07896788697289686,0.48357142857142854,0.05797109011583893,0.4254270631329454,0.06056381077884946,-0.04051760019597179,0.142554360200287,50.0
GSE27272,py_tsp_rf,0.6741279669762642,0.044220849510629955,0.4855576923076923,0.03810085727267178,0.41308120552252925,0.04518163414126984,-0.04971101353293778,0.1333263382214145,50.0
GSE3365,py_tsp,0.836007326007326,0.10743751776795157,0.8653888888888889,0.09365274395835417,0.8296119770752124,0.10897053194214709,0.7060741178721799,0.18307338461028438,1.0
GSE6613,py_reos,0.5526363636363636,0.11347404384967645,0.5646666666666667,0.1141326536371718,0.515074161949162,0.12455035842457612,0.1714294783762038,0.2713361369425458,25.0
