method_id,n_datasets,mean_accuracy,mean_balanced_accuracy,mean_macro_f1,mean_mcc,sd_balanced_accuracy_across_datasets,sd_macro_f1_across_datasets,sd_mcc_across_datasets,mean_n_pairs
py_tsp_rf,8,0.7628773779110467,0.6876433497058497,0.6657748011877095,0.3860662672222889,0.20629977635335292,0.2287938198614152,0.41757754486976234,50.0
py_reos_svm,8,0.7245646327571638,0.6777008911227661,0.6710646793944894,0.3620904293756062,0.2135478431181854,0.21849810913625256,0.43003231983474594,25.0
py_tsp_svm,8,0.722710466090497,0.6758675577894327,0.6691917294277895,0.35851026420257104,0.21108625737013492,0.21598391758741195,0.42522154729586975,25.0
py_tsp,8,0.6627651851287687,0.6613158646908647,0.6398161227973806,0.3256080731878604,0.21684747996798487,0.22680255027512186,0.4294260281616511,1.0
py_reos,8,0.653845706903176,0.6582745292901543,0.6315031660257505,0.3252322174730751,0.22411372858875267,0.2372371228445523,0.4427149171204754,25.0
