method_id,source_group,n_datasets,mean_accuracy,mean_balanced_accuracy,mean_macro_f1,mean_mcc,sd_balanced_accuracy_across_datasets,sd_macro_f1_across_datasets,sd_mcc_across_datasets
ranger_rf,r_classical_reference,8,0.7878795386759782,0.7149915084915085,0.7014137396692428,0.454800961347783,0.19637909956619434,0.21572547753639174,0.39597065256039815
svm_linear,r_classical_reference,8,0.7494010077255048,0.714873916014541,0.7061972064382508,0.43181073133904546,0.1962890785524748,0.20294130299337945,0.39796030945973176
glmnet_enet,r_classical_reference,8,0.7866870190353162,0.7072860576923077,0.6710728282018259,0.4237602652969214,0.21827872380078234,0.2540191970097349,0.4346338051980359
xgboost_shallow,r_classical_reference,8,0.775327826305961,0.6992548111610611,0.6802208522588838,0.41949252990467306,0.19525787980905143,0.21923336925993522,0.39498569956620366
knn_euclidean,r_classical_reference,8,0.7505019017789917,0.6900416579947831,0.6745506798340982,0.38361579737669094,0.20458192423059707,0.21625285329482233,0.4125187431297885
py_tsp_rf,python_gene_pair,8,0.7628773779110467,0.6876433497058497,0.6657748011877095,0.3860662672222889,0.20629977635335292,0.2287938198614152,0.41757754486976234
switchbox_tsp,r_relational,8,0.6653663178281987,0.6837610913392161,0.6456322900712143,0.36779143565268513,0.19666086082248094,0.2228274540894519,0.392518987974431
py_reos_svm,python_gene_pair,8,0.7245646327571638,0.6777008911227661,0.6710646793944894,0.36209042937560626,0.2135478431181854,0.21849810913625256,0.43003231983474594
py_tsp_svm,python_gene_pair,8,0.722710466090497,0.6758675577894327,0.6691917294277895,0.35851026420257104,0.21108625737013492,0.21598391758741195,0.4252215472958697
rpart_tree,r_classical_reference,8,0.7151073775295913,0.6739307723526475,0.6672995978759937,0.3588911934997123,0.19942678508401754,0.20599190417548183,0.40602098099964234
pyrrm_knn5,pyrrm_relational_knn,8,0.7342051296441776,0.6723136481573981,0.651913110705208,0.340071514534598,0.2102535707520873,0.2233175950394555,0.4286960454933881
tspdt_bigtsp,r_relational,8,0.7099610135306731,0.6706474671162169,0.6648856614873043,0.34970822208819635,0.19772747736357438,0.20152634799018707,0.3991485048072571
py_tsp,python_gene_pair,8,0.6627651851287688,0.6613158646908647,0.6398161227973806,0.3256080731878604,0.21684747996798492,0.22680255027512183,0.4294260281616511
switchbox_ktsp,r_relational,8,0.6668463058484343,0.6612084217865467,0.6430981009274674,0.334168385862796,0.23153285101039414,0.24397383399683284,0.4598629434681291
py_reos,python_gene_pair,8,0.6538457069031759,0.6582745292901543,0.6315031660257505,0.3252322174730751,0.22411372858875267,0.2372371228445523,0.4427149171204754
rrf_ranktreeensemble,r_relational,8,0.6504731850966372,0.6107012761544013,0.5729288908839754,0.22208569945134624,0.15421460450497573,0.1676264659256612,0.31448404456322665
majority,r_classical_reference,8,0.6159913461151852,0.5,0.37895759377778776,0.0,0.0,0.038839023562187526,0.0
