dataset_id,method_id,source_group,accuracy,balanced_accuracy,macro_f1,mcc
GDS2771,pyrrm_knn5,pyrrm_relational_knn,0.6506315789473684,0.6436767676767677,0.6381281137096253,0.3003893014234579
GDS2771,py_reos,python_gene_pair,0.641078947368421,0.6333181818181819,0.6234336370411817,0.2855844743554554
GDS2771,py_reos_svm,python_gene_pair,0.6922894736842105,0.6889949494949495,0.6860416335392072,0.3877979544177397
GDS2771,py_tsp,python_gene_pair,0.6194736842105263,0.6189090909090909,0.6111611428953332,0.2466742379200594
GDS2771,py_tsp_rf,python_gene_pair,0.6918421052631579,0.6831565656565657,0.6754735761800306,0.3932984980245214
GDS2771,py_tsp_svm,python_gene_pair,0.6922894736842105,0.6889949494949495,0.6860416335392072,0.3877979544177397
GDS2771,glmnet_enet,r_classical_reference,0.717684210526316,0.712888888888889,0.709003314717469,0.441135505411472
GDS2771,knn_euclidean,r_classical_reference,0.708842105263158,0.701863636363636,0.698156345844023,0.423927574073876
GDS2771,majority,r_classical_reference,0.531052631578947,0.5,0.346829810901001,0.0
GDS2771,ranger_rf,r_classical_reference,0.744815789473684,0.736717171717172,0.733488453563208,0.502513470508429
GDS2771,rpart_tree,r_classical_reference,0.620131578947369,0.617353535353535,0.609184916454674,0.243158771017549
GDS2771,svm_linear,r_classical_reference,0.712526315789474,0.712176767676768,0.708323207832933,0.433355424226049
GDS2771,xgboost_shallow,r_classical_reference,0.689947368421053,0.682843434343434,0.678436456360205,0.383857633382526
GDS2771,rrf_ranktreeensemble,r_relational,0.574605263157895,0.579116161616162,0.54307010863524,0.181921234896623
GDS2771,switchbox_ktsp,r_relational,0.661184210526316,0.658257575757576,0.651487011994153,0.329744655746764
GDS2771,switchbox_tsp,r_relational,0.613973684210526,0.609131313131313,0.598140923658584,0.234160941907222
GDS2771,tspdt_bigtsp,r_relational,0.664684210526316,0.662924242424242,0.658688801310638,0.334502660506888
GSE10072,pyrrm_knn5,pyrrm_relational_knn,0.9693030303030304,0.96875,0.9686847041847042,0.9420233969991838
GSE10072,py_reos,python_gene_pair,0.9682121212121212,0.9674166666666668,0.9674644244644244,0.9403535303923288
GSE10072,py_reos_svm,python_gene_pair,0.9603535353535354,0.9599166666666668,0.9594025974025976,0.9269009792881387
GSE10072,py_tsp,python_gene_pair,0.938969696969697,0.93925,0.9378050838050838,0.8877940614406381
GSE10072,py_tsp_rf,python_gene_pair,0.9705353535353536,0.9695833333333332,0.9697499444999446,0.9450089859290126
GSE10072,py_tsp_svm,python_gene_pair,0.9613535353535352,0.9610833333333332,0.9605428737928736,0.9284079406650468
GSE10072,glmnet_enet,r_classical_reference,0.97830303030303,0.97675,0.97749777999778,0.95958304760349
GSE10072,knn_euclidean,r_classical_reference,0.981525252525253,0.97975,0.980730103230103,0.965418081794212
GSE10072,majority,r_classical_reference,0.541919191919192,0.5,0.351400560224089,0.0
GSE10072,ranger_rf,r_classical_reference,0.982434343434343,0.980916666666667,0.981701354201354,0.967189841703329
GSE10072,rpart_tree,r_classical_reference,0.939353535353535,0.93875,0.937846764346764,0.887232002264246
GSE10072,svm_linear,r_classical_reference,0.976575757575758,0.975083333333333,0.975665584415584,0.95651216568127
GSE10072,xgboost_shallow,r_classical_reference,0.952969696969697,0.9515,0.951531107781108,0.911700103865421
GSE10072,rrf_ranktreeensemble,r_relational,0.581131313131313,0.571666666666667,0.527547166069225,0.141367648680614
GSE10072,switchbox_ktsp,r_relational,0.971141414141414,0.970083333333333,0.970403790653791,0.945166625792688
GSE10072,switchbox_tsp,r_relational,0.962262626262626,0.96175,0.961306804306804,0.929714641394636
GSE10072,tspdt_bigtsp,r_relational,0.934020202020202,0.934583333333333,0.933032772782773,0.87653578175567
GSE17920,pyrrm_knn5,pyrrm_relational_knn,0.6593223443223444,0.5215,0.500921575717174,0.0531560751442722
GSE17920,py_reos,python_gene_pair,0.5373168498168499,0.5513888888888888,0.5116865061752832,0.0972205276612091
GSE17920,py_reos_svm,python_gene_pair,0.6864194139194139,0.5915,0.5806477132146806,0.1944632582484542
GSE17920,py_tsp,python_gene_pair,0.5987454212454213,0.5908333333333333,0.5591750702427947,0.1726088352898871
