dataset_id,method_id,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std,n_features_mean,k_mean
GDS2771,pyrrm_knn5,0.6506315789473684,0.10352844945823211,0.6436767676767677,0.10404474965243561,0.6381281137096253,0.10973716543729045,0.30038930142345793,0.21842951712638056,50.0,5.0
GSE10072,pyrrm_knn5,0.9693030303030303,0.05190844684684951,0.96875,0.053146967630808103,0.9686847041847042,0.053036080713723004,0.9420233969991838,0.09945868632331749,50.0,5.0
GSE17920,pyrrm_knn5,0.6593223443223444,0.09589356685638842,0.5215,0.10672284166608123,0.500921575717174,0.13026679723187787,0.05315607514427226,0.2797093244424621,50.0,5.0
GSE19804,pyrrm_knn5,0.9558333333333333,0.05356929074885703,0.9558333333333334,0.05356929074885699,0.9554748584748585,0.0540626245158502,0.9172536110184809,0.10127345510339641,50.0,5.0
GSE25837,pyrrm_knn5,0.6794444444444444,0.09826243266897171,0.4664285714285714,0.08755342137331372,0.42885100193923725,0.09051425906775752,-0.08478785125927757,0.19710290106390527,50.0,5.0
GSE27272,pyrrm_knn5,0.6143670450636395,0.06745417321945348,0.4501538461538461,0.05938948854964384,0.4039897141908682,0.0644616682396016,-0.14249198968506316,0.14974809378560058,50.0,5.0
GSE3365,pyrrm_knn5,0.7766483516483517,0.1177245239470125,0.799,0.11540710836395775,0.765152464322743,0.12095217723736106,0.5822267149684166,0.2239715496067271,50.0,5.0
GSE6613,pyrrm_knn5,0.5680909090909091,0.14119388264676883,0.5731666666666667,0.14052361197281235,0.5541024531024531,0.1498964235422976,0.15280285766731333,0.30321036419310765,50.0,5.0
