method_id,dataset_id,n_jobs,mean_train_seconds,mean_predict_seconds,mean_total_seconds,sum_total_seconds
glmnet_enet,GDS2771,100,1.05478934049606,0.246675088405609,1.30146442890167,130.146442890167
glmnet_enet,GSE10072,100,0.339786992073059,0.234709148406982,0.574496140480042,57.4496140480042
glmnet_enet,GSE17920,100,0.522191874980927,0.255828893184662,0.778020768165588,77.8020768165588
glmnet_enet,GSE19804,100,0.341252737045288,0.250714945793152,0.59196768283844,59.196768283844
glmnet_enet,GSE25837,100,0.335412454605103,0.243904981613159,0.579317436218262,57.9317436218262
glmnet_enet,GSE27272,100,2.29737544775009,0.240342171192169,2.53771761894226,253.771761894226
glmnet_enet,GSE3365,100,0.325478320121765,0.243605756759644,0.569084076881409,56.9084076881409
glmnet_enet,GSE6613,100,0.40310097694397,0.243114097118378,0.646215074062348,64.6215074062348
knn_euclidean,GDS2771,100,0.000334792137145996,0.235797963142395,0.236132755279541,23.6132755279541
knn_euclidean,GSE10072,100,0.000325534343719482,0.234746460914612,0.235071995258331,23.5071995258331
knn_euclidean,GSE17920,100,0.000340640544891357,0.233783137798309,0.234123778343201,23.4123778343201
knn_euclidean,GSE19804,100,0.000341558456420898,0.235416443347931,0.235758001804352,23.5758001804352
knn_euclidean,GSE25837,100,0.000322718620300293,0.224195380210876,0.224518098831177,22.4518098831177
knn_euclidean,GSE27272,100,0.00032916784286499,0.227382435798645,0.22771160364151,22.771160364151
knn_euclidean,GSE3365,100,0.000561742782592774,0.224159653186798,0.224721395969391,22.4721395969391
knn_euclidean,GSE6613,100,0.000331308841705322,0.234570474624634,0.234901783466339,23.4901783466339
majority,GDS2771,100,0.00116371870040894,0.419608044624329,0.420771763324738,42.0771763324738
majority,GSE10072,100,0.00117949962615967,0.442046275138855,0.443225774765015,44.3225774765015
majority,GSE17920,100,0.00142091989517212,0.464195504188538,0.46561642408371,46.561642408371
majority,GSE19804,100,0.00139974355697632,0.462532966136932,0.463932709693909,46.3932709693909
majority,GSE25837,100,0.00129507303237915,0.431225883960724,0.432520956993103,43.2520956993103
majority,GSE27272,100,0.00120689630508423,0.434072444438934,0.435279340744019,43.5279340744019
majority,GSE3365,100,0.00137803554534912,0.440561776161194,0.441939811706543,44.1939811706543
majority,GSE6613,100,0.00139586210250854,0.430286636352539,0.431682498455048,43.1682498455048
ranger_rf,GDS2771,100,0.0807413220405579,0.274755213260651,0.355496535301209,35.5496535301209
ranger_rf,GSE10072,100,0.0535911464691162,0.255741765499115,0.309332911968231,30.9332911968231
ranger_rf,GSE17920,100,0.069676423072815,0.267081551551819,0.336757974624634,33.6757974624634
ranger_rf,GSE19804,100,0.0547220897674561,0.253333702087402,0.308055791854858,30.8055791854858
ranger_rf,GSE25837,100,0.0597133851051331,0.255099639892578,0.314813024997711,31.4813024997711
ranger_rf,GSE27272,100,0.0815050601959229,0.263183546066284,0.344688606262207,34.4688606262207
ranger_rf,GSE3365,100,0.0644501399993897,0.252582223415375,0.317032363414764,31.7032363414764
ranger_rf,GSE6613,100,0.0693619155883789,0.251172513961792,0.320534429550171,32.0534429550171
rpart_tree,GDS2771,100,0.0473559665679932,0.259787855148315,0.307143821716309,30.7143821716309
rpart_tree,GSE10072,100,0.0405821561813355,0.255738492012024,0.296320648193359,29.6320648193359
rpart_tree,GSE17920,100,0.0461666584014893,0.256254978179932,0.302421636581421,30.2421636581421
rpart_tree,GSE19804,100,0.045149781703949,0.258394265174866,0.303544046878815,30.3544046878815
rpart_tree,GSE25837,100,0.0407549095153809,0.239367566108704,0.280122475624085,28.0122475624085
rpart_tree,GSE27272,100,0.048003671169281,0.248167610168457,0.296171281337738,29.6171281337738
rpart_tree,GSE3365,100,0.0430251002311707,0.240623772144318,0.283648872375488,28.3648872375488
rpart_tree,GSE6613,100,0.0401118993759155,0.254901750087738,0.295013649463654,29.5013649463654
rrf_ranktreeensemble,GDS2771,100,1.54580400466919,0.278643312454224,1.82444731712341,182.444731712341
rrf_ranktreeensemble,GSE10072,100,0.842373723983765,0.273978025913239,1.116351749897,111.6351749897
rrf_ranktreeensemble,GSE17920,100,1.18060050487518,0.274432809352875,1.45503331422806,145.503331422806
rrf_ranktreeensemble,GSE19804,100,0.933511190414429,0.273496963977814,1.20700815439224,120.700815439224
rrf_ranktreeensemble,GSE25837,100,0.97927057504654,0.267588303089142,1.24685887813568,124.685887813568
rrf_ranktreeensemble,GSE27272,100,1.63929363012314,0.27719468832016,1.9164883184433,191.64883184433
rrf_ranktreeensemble,GSE3365,100,1.05646506071091,0.26402740240097,1.32049246311188,132.049246311188
rrf_ranktreeensemble,GSE6613,100,0.975448746681214,0.244706509113312,1.22015525579453,122.015525579453
svm_linear,GDS2771,100,0.0744683241844177,0.243503811359406,0.317972135543823,31.7972135543823
svm_linear,GSE10072,100,0.0446953725814819,0.235939137935638,0.28063451051712,28.063451051712
svm_linear,GSE17920,100,0.0571525621414185,0.245778322219849,0.302930884361267,30.2930884361267
svm_linear,GSE19804,100,0.0511056780815125,0.23610434293747,0.287210021018982,28.7210021018982
svm_linear,GSE25837,100,0.0478223848342896,0.233394775390625,0.281217160224915,28.1217160224915
svm_linear,GSE27272,100,0.0637003564834595,0.242053599357605,0.305753955841064,30.5753955841064
