repeat_id,fold_id,split,class_label,Freq
1,1,test,non_smoker,13
2,1,test,non_smoker,13
3,1,test,non_smoker,13
4,1,test,non_smoker,13
5,1,test,non_smoker,13
6,1,test,non_smoker,13
7,1,test,non_smoker,13
8,1,test,non_smoker,13
9,1,test,non_smoker,13
10,1,test,non_smoker,13
1,2,test,non_smoker,13
2,2,test,non_smoker,13
3,2,test,non_smoker,13
4,2,test,non_smoker,13
5,2,test,non_smoker,13
6,2,test,non_smoker,13
7,2,test,non_smoker,13
8,2,test,non_smoker,13
9,2,test,non_smoker,13
10,2,test,non_smoker,13
1,3,test,non_smoker,13
2,3,test,non_smoker,13
3,3,test,non_smoker,13
4,3,test,non_smoker,13
5,3,test,non_smoker,13
6,3,test,non_smoker,13
7,3,test,non_smoker,13
8,3,test,non_smoker,13
9,3,test,non_smoker,13
10,3,test,non_smoker,13
1,4,test,non_smoker,13
2,4,test,non_smoker,13
3,4,test,non_smoker,13
4,4,test,non_smoker,13
5,4,test,non_smoker,13
6,4,test,non_smoker,13
7,4,test,non_smoker,13
8,4,test,non_smoker,13
9,4,test,non_smoker,13
10,4,test,non_smoker,13
1,5,test,non_smoker,13
2,5,test,non_smoker,13
3,5,test,non_smoker,13
4,5,test,non_smoker,13
5,5,test,non_smoker,13
6,5,test,non_smoker,13
7,5,test,non_smoker,13
8,5,test,non_smoker,13
9,5,test,non_smoker,13
10,5,test,non_smoker,13
1,6,test,non_smoker,13
2,6,test,non_smoker,13
3,6,test,non_smoker,13
4,6,test,non_smoker,13
5,6,test,non_smoker,13
6,6,test,non_smoker,13
7,6,test,non_smoker,13
8,6,test,non_smoker,13
9,6,test,non_smoker,13
10,6,test,non_smoker,13
1,7,test,non_smoker,13
2,7,test,non_smoker,13
3,7,test,non_smoker,13
4,7,test,non_smoker,13
5,7,test,non_smoker,13
6,7,test,non_smoker,13
7,7,test,non_smoker,13
8,7,test,non_smoker,13
9,7,test,non_smoker,13
10,7,test,non_smoker,13
1,8,test,non_smoker,13
2,8,test,non_smoker,13
3,8,test,non_smoker,13
4,8,test,non_smoker,13
5,8,test,non_smoker,13
6,8,test,non_smoker,13
7,8,test,non_smoker,13
8,8,test,non_smoker,13
9,8,test,non_smoker,13
10,8,test,non_smoker,13
1,9,test,non_smoker,12
2,9,test,non_smoker,12
3,9,test,non_smoker,12
4,9,test,non_smoker,12
5,9,test,non_smoker,12
6,9,test,non_smoker,12
7,9,test,non_smoker,12
8,9,test,non_smoker,12
9,9,test,non_smoker,12
10,9,test,non_smoker,12
1,10,test,non_smoker,12
2,10,test,non_smoker,12
3,10,test,non_smoker,12
4,10,test,non_smoker,12
5,10,test,non_smoker,12
6,10,test,non_smoker,12
7,10,test,non_smoker,12
8,10,test,non_smoker,12
9,10,test,non_smoker,12
10,10,test,non_smoker,12
1,1,train,non_smoker,115
2,1,train,non_smoker,115
3,1,train,non_smoker,115
4,1,train,non_smoker,115
5,1,train,non_smoker,115
6,1,train,non_smoker,115
7,1,train,non_smoker,115
8,1,train,non_smoker,115
9,1,train,non_smoker,115
10,1,train,non_smoker,115
1,2,train,non_smoker,115
2,2,train,non_smoker,115
3,2,train,non_smoker,115
4,2,train,non_smoker,115
5,2,train,non_smoker,115
6,2,train,non_smoker,115
7,2,train,non_smoker,115
8,2,train,non_smoker,115
9,2,train,non_smoker,115
10,2,train,non_smoker,115
1,3,train,non_smoker,115
2,3,train,non_smoker,115
3,3,train,non_smoker,115
4,3,train,non_smoker,115
5,3,train,non_smoker,115
6,3,train,non_smoker,115
7,3,train,non_smoker,115
8,3,train,non_smoker,115
9,3,train,non_smoker,115
10,3,train,non_smoker,115
1,4,train,non_smoker,115
2,4,train,non_smoker,115
3,4,train,non_smoker,115
4,4,train,non_smoker,115
5,4,train,non_smoker,115
6,4,train,non_smoker,115
7,4,train,non_smoker,115
8,4,train,non_smoker,115
9,4,train,non_smoker,115
10,4,train,non_smoker,115
1,5,train,non_smoker,115
2,5,train,non_smoker,115
3,5,train,non_smoker,115
4,5,train,non_smoker,115
5,5,train,non_smoker,115
6,5,train,non_smoker,115
7,5,train,non_smoker,115
8,5,train,non_smoker,115
9,5,train,non_smoker,115
10,5,train,non_smoker,115
1,6,train,non_smoker,115
2,6,train,non_smoker,115
3,6,train,non_smoker,115
4,6,train,non_smoker,115
5,6,train,non_smoker,115
6,6,train,non_smoker,115
7,6,train,non_smoker,115
8,6,train,non_smoker,115
9,6,train,non_smoker,115
10,6,train,non_smoker,115
1,7,train,non_smoker,115
2,7,train,non_smoker,115
3,7,train,non_smoker,115
4,7,train,non_smoker,115
5,7,train,non_smoker,115
6,7,train,non_smoker,115
7,7,train,non_smoker,115
8,7,train,non_smoker,115
9,7,train,non_smoker,115
10,7,train,non_smoker,115
1,8,train,non_smoker,115
2,8,train,non_smoker,115
3,8,train,non_smoker,115
4,8,train,non_smoker,115
5,8,train,non_smoker,115
6,8,train,non_smoker,115
7,8,train,non_smoker,115
8,8,train,non_smoker,115
9,8,train,non_smoker,115
10,8,train,non_smoker,115
1,9,train,non_smoker,116
2,9,train,non_smoker,116
3,9,train,non_smoker,116
4,9,train,non_smoker,116
5,9,train,non_smoker,116
6,9,train,non_smoker,116
7,9,train,non_smoker,116
8,9,train,non_smoker,116
9,9,train,non_smoker,116
10,9,train,non_smoker,116
1,10,train,non_smoker,116
2,10,train,non_smoker,116
3,10,train,non_smoker,116
4,10,train,non_smoker,116
5,10,train,non_smoker,116
6,10,train,non_smoker,116
7,10,train,non_smoker,116
8,10,train,non_smoker,116
9,10,train,non_smoker,116
10,10,train,non_smoker,116
1,1,test,smoker,6
2,1,test,smoker,6
3,1,test,smoker,6
4,1,test,smoker,6
5,1,test,smoker,6
6,1,test,smoker,6
7,1,test,smoker,6
8,1,test,smoker,6
9,1,test,smoker,6
10,1,test,smoker,6
1,2,test,smoker,6
2,2,test,smoker,6
3,2,test,smoker,6
4,2,test,smoker,6
5,2,test,smoker,6
6,2,test,smoker,6
7,2,test,smoker,6
8,2,test,smoker,6
9,2,test,smoker,6
10,2,test,smoker,6
1,3,test,smoker,6
2,3,test,smoker,6
3,3,test,smoker,6
4,3,test,smoker,6
5,3,test,smoker,6
6,3,test,smoker,6
7,3,test,smoker,6
8,3,test,smoker,6
9,3,test,smoker,6
10,3,test,smoker,6
1,4,test,smoker,6
2,4,test,smoker,6
3,4,test,smoker,6
4,4,test,smoker,6
5,4,test,smoker,6
6,4,test,smoker,6
7,4,test,smoker,6
8,4,test,smoker,6
9,4,test,smoker,6
10,4,test,smoker,6
1,5,test,smoker,6
2,5,test,smoker,6
3,5,test,smoker,6
4,5,test,smoker,6
5,5,test,smoker,6
6,5,test,smoker,6
7,5,test,smoker,6
8,5,test,smoker,6
9,5,test,smoker,6
10,5,test,smoker,6
1,6,test,smoker,5
2,6,test,smoker,5
3,6,test,smoker,5
4,6,test,smoker,5
5,6,test,smoker,5
6,6,test,smoker,5
7,6,test,smoker,5
8,6,test,smoker,5
9,6,test,smoker,5
10,6,test,smoker,5
1,7,test,smoker,5
2,7,test,smoker,5
3,7,test,smoker,5
4,7,test,smoker,5
5,7,test,smoker,5
6,7,test,smoker,5
7,7,test,smoker,5
8,7,test,smoker,5
9,7,test,smoker,5
10,7,test,smoker,5
1,8,test,smoker,5
2,8,test,smoker,5
3,8,test,smoker,5
4,8,test,smoker,5
5,8,test,smoker,5
6,8,test,smoker,5
7,8,test,smoker,5
8,8,test,smoker,5
9,8,test,smoker,5
10,8,test,smoker,5
1,9,test,smoker,5
2,9,test,smoker,5
3,9,test,smoker,5
4,9,test,smoker,5
5,9,test,smoker,5
6,9,test,smoker,5
7,9,test,smoker,5
8,9,test,smoker,5
9,9,test,smoker,5
10,9,test,smoker,5
1,10,test,smoker,5
2,10,test,smoker,5
3,10,test,smoker,5
4,10,test,smoker,5
5,10,test,smoker,5
6,10,test,smoker,5
7,10,test,smoker,5
8,10,test,smoker,5
9,10,test,smoker,5
10,10,test,smoker,5
1,1,train,smoker,49
2,1,train,smoker,49
3,1,train,smoker,49
4,1,train,smoker,49
5,1,train,smoker,49
6,1,train,smoker,49
7,1,train,smoker,49
8,1,train,smoker,49
9,1,train,smoker,49
10,1,train,smoker,49
1,2,train,smoker,49
2,2,train,smoker,49
3,2,train,smoker,49
4,2,train,smoker,49
5,2,train,smoker,49
6,2,train,smoker,49
7,2,train,smoker,49
8,2,train,smoker,49
9,2,train,smoker,49
10,2,train,smoker,49
1,3,train,smoker,49
2,3,train,smoker,49
3,3,train,smoker,49
4,3,train,smoker,49
5,3,train,smoker,49
6,3,train,smoker,49
7,3,train,smoker,49
8,3,train,smoker,49
9,3,train,smoker,49
10,3,train,smoker,49
1,4,train,smoker,49
2,4,train,smoker,49
3,4,train,smoker,49
4,4,train,smoker,49
5,4,train,smoker,49
6,4,train,smoker,49
7,4,train,smoker,49
8,4,train,smoker,49
9,4,train,smoker,49
10,4,train,smoker,49
1,5,train,smoker,49
2,5,train,smoker,49
3,5,train,smoker,49
4,5,train,smoker,49
5,5,train,smoker,49
6,5,train,smoker,49
7,5,train,smoker,49
8,5,train,smoker,49
9,5,train,smoker,49
10,5,train,smoker,49
1,6,train,smoker,50
2,6,train,smoker,50
3,6,train,smoker,50
4,6,train,smoker,50
5,6,train,smoker,50
6,6,train,smoker,50
7,6,train,smoker,50
8,6,train,smoker,50
9,6,train,smoker,50
10,6,train,smoker,50
1,7,train,smoker,50
2,7,train,smoker,50
3,7,train,smoker,50
4,7,train,smoker,50
5,7,train,smoker,50
6,7,train,smoker,50
7,7,train,smoker,50
8,7,train,smoker,50
9,7,train,smoker,50
10,7,train,smoker,50
1,8,train,smoker,50
2,8,train,smoker,50
3,8,train,smoker,50
4,8,train,smoker,50
5,8,train,smoker,50
6,8,train,smoker,50
7,8,train,smoker,50
8,8,train,smoker,50
9,8,train,smoker,50
10,8,train,smoker,50
1,9,train,smoker,50
2,9,train,smoker,50
3,9,train,smoker,50
4,9,train,smoker,50
5,9,train,smoker,50
6,9,train,smoker,50
7,9,train,smoker,50
8,9,train,smoker,50
9,9,train,smoker,50
10,9,train,smoker,50
1,10,train,smoker,50
2,10,train,smoker,50
3,10,train,smoker,50
4,10,train,smoker,50
5,10,train,smoker,50
6,10,train,smoker,50
7,10,train,smoker,50
8,10,train,smoker,50
9,10,train,smoker,50
10,10,train,smoker,50
