repeat_id,fold_id,split,class_label,Freq
1,1,test,lonely,3
2,1,test,lonely,3
3,1,test,lonely,3
4,1,test,lonely,3
5,1,test,lonely,3
6,1,test,lonely,3
7,1,test,lonely,3
8,1,test,lonely,3
9,1,test,lonely,3
10,1,test,lonely,3
1,2,test,lonely,3
2,2,test,lonely,3
3,2,test,lonely,3
4,2,test,lonely,3
5,2,test,lonely,3
6,2,test,lonely,3
7,2,test,lonely,3
8,2,test,lonely,3
9,2,test,lonely,3
10,2,test,lonely,3
1,3,test,lonely,3
2,3,test,lonely,3
3,3,test,lonely,3
4,3,test,lonely,3
5,3,test,lonely,3
6,3,test,lonely,3
7,3,test,lonely,3
8,3,test,lonely,3
9,3,test,lonely,3
10,3,test,lonely,3
1,4,test,lonely,2
2,4,test,lonely,2
3,4,test,lonely,2
4,4,test,lonely,2
5,4,test,lonely,2
6,4,test,lonely,2
7,4,test,lonely,2
8,4,test,lonely,2
9,4,test,lonely,2
10,4,test,lonely,2
1,5,test,lonely,2
2,5,test,lonely,2
3,5,test,lonely,2
4,5,test,lonely,2
5,5,test,lonely,2
6,5,test,lonely,2
7,5,test,lonely,2
8,5,test,lonely,2
9,5,test,lonely,2
10,5,test,lonely,2
1,6,test,lonely,2
2,6,test,lonely,2
3,6,test,lonely,2
4,6,test,lonely,2
5,6,test,lonely,2
6,6,test,lonely,2
7,6,test,lonely,2
8,6,test,lonely,2
9,6,test,lonely,2
10,6,test,lonely,2
1,7,test,lonely,2
2,7,test,lonely,2
3,7,test,lonely,2
4,7,test,lonely,2
5,7,test,lonely,2
6,7,test,lonely,2
7,7,test,lonely,2
8,7,test,lonely,2
9,7,test,lonely,2
10,7,test,lonely,2
1,8,test,lonely,2
2,8,test,lonely,2
3,8,test,lonely,2
4,8,test,lonely,2
5,8,test,lonely,2
6,8,test,lonely,2
7,8,test,lonely,2
8,8,test,lonely,2
9,8,test,lonely,2
10,8,test,lonely,2
1,9,test,lonely,2
2,9,test,lonely,2
3,9,test,lonely,2
4,9,test,lonely,2
5,9,test,lonely,2
6,9,test,lonely,2
7,9,test,lonely,2
8,9,test,lonely,2
9,9,test,lonely,2
10,9,test,lonely,2
1,10,test,lonely,2
2,10,test,lonely,2
3,10,test,lonely,2
4,10,test,lonely,2
5,10,test,lonely,2
6,10,test,lonely,2
7,10,test,lonely,2
8,10,test,lonely,2
9,10,test,lonely,2
10,10,test,lonely,2
1,1,train,lonely,20
2,1,train,lonely,20
3,1,train,lonely,20
4,1,train,lonely,20
5,1,train,lonely,20
6,1,train,lonely,20
7,1,train,lonely,20
8,1,train,lonely,20
9,1,train,lonely,20
