repeat_id,fold_id,split,class_label,Freq
1,1,test,normal,5
2,1,test,normal,5
3,1,test,normal,5
4,1,test,normal,5
5,1,test,normal,5
6,1,test,normal,5
7,1,test,normal,5
8,1,test,normal,5
9,1,test,normal,5
10,1,test,normal,5
1,2,test,normal,5
2,2,test,normal,5
3,2,test,normal,5
4,2,test,normal,5
5,2,test,normal,5
6,2,test,normal,5
7,2,test,normal,5
8,2,test,normal,5
9,2,test,normal,5
10,2,test,normal,5
1,3,test,normal,5
2,3,test,normal,5
3,3,test,normal,5
4,3,test,normal,5
5,3,test,normal,5
6,3,test,normal,5
7,3,test,normal,5
8,3,test,normal,5
9,3,test,normal,5
10,3,test,normal,5
1,4,test,normal,5
2,4,test,normal,5
3,4,test,normal,5
4,4,test,normal,5
5,4,test,normal,5
6,4,test,normal,5
7,4,test,normal,5
8,4,test,normal,5
9,4,test,normal,5
10,4,test,normal,5
1,5,test,normal,5
2,5,test,normal,5
3,5,test,normal,5
4,5,test,normal,5
5,5,test,normal,5
6,5,test,normal,5
7,5,test,normal,5
8,5,test,normal,5
9,5,test,normal,5
10,5,test,normal,5
1,6,test,normal,5
2,6,test,normal,5
3,6,test,normal,5
4,6,test,normal,5
5,6,test,normal,5
6,6,test,normal,5
7,6,test,normal,5
8,6,test,normal,5
9,6,test,normal,5
10,6,test,normal,5
1,7,test,normal,5
2,7,test,normal,5
3,7,test,normal,5
4,7,test,normal,5
5,7,test,normal,5
6,7,test,normal,5
7,7,test,normal,5
8,7,test,normal,5
9,7,test,normal,5
10,7,test,normal,5
1,8,test,normal,5
2,8,test,normal,5
3,8,test,normal,5
4,8,test,normal,5
5,8,test,normal,5
6,8,test,normal,5
7,8,test,normal,5
8,8,test,normal,5
9,8,test,normal,5
10,8,test,normal,5
1,9,test,normal,5
2,9,test,normal,5
3,9,test,normal,5
4,9,test,normal,5
5,9,test,normal,5
6,9,test,normal,5
7,9,test,normal,5
8,9,test,normal,5
9,9,test,normal,5
10,9,test,normal,5
1,10,test,normal,4
2,10,test,normal,4
3,10,test,normal,4
4,10,test,normal,4
5,10,test,normal,4
6,10,test,normal,4
7,10,test,normal,4
8,10,test,normal,4
9,10,test,normal,4
10,10,test,normal,4
1,1,train,normal,44
2,1,train,normal,44
3,1,train,normal,44
4,1,train,normal,44
5,1,train,normal,44
6,1,train,normal,44
7,1,train,normal,44
8,1,train,normal,44
9,1,train,normal,44
10,1,train,normal,44
1,2,train,normal,44
2,2,train,normal,44
3,2,train,normal,44
4,2,train,normal,44
5,2,train,normal,44
6,2,train,normal,44
7,2,train,normal,44
8,2,train,normal,44
9,2,train,normal,44
10,2,train,normal,44
1,3,train,normal,44
2,3,train,normal,44
3,3,train,normal,44
4,3,train,normal,44
5,3,train,normal,44
6,3,train,normal,44
7,3,train,normal,44
8,3,train,normal,44
9,3,train,normal,44
10,3,train,normal,44
1,4,train,normal,44
2,4,train,normal,44
3,4,train,normal,44
4,4,train,normal,44
5,4,train,normal,44
6,4,train,normal,44
7,4,train,normal,44
8,4,train,normal,44
9,4,train,normal,44
10,4,train,normal,44
1,5,train,normal,44
2,5,train,normal,44
3,5,train,normal,44
4,5,train,normal,44
5,5,train,normal,44
6,5,train,normal,44
7,5,train,normal,44
8,5,train,normal,44
9,5,train,normal,44
10,5,train,normal,44
1,6,train,normal,44
2,6,train,normal,44
3,6,train,normal,44
4,6,train,normal,44
5,6,train,normal,44
6,6,train,normal,44
7,6,train,normal,44
8,6,train,normal,44
9,6,train,normal,44
10,6,train,normal,44
1,7,train,normal,44
2,7,train,normal,44
3,7,train,normal,44
4,7,train,normal,44
5,7,train,normal,44
6,7,train,normal,44
7,7,train,normal,44
8,7,train,normal,44
9,7,train,normal,44
10,7,train,normal,44
1,8,train,normal,44
2,8,train,normal,44
3,8,train,normal,44
4,8,train,normal,44
5,8,train,normal,44
6,8,train,normal,44
7,8,train,normal,44
8,8,train,normal,44
9,8,train,normal,44
10,8,train,normal,44
1,9,train,normal,44
2,9,train,normal,44
3,9,train,normal,44
4,9,train,normal,44
5,9,train,normal,44
6,9,train,normal,44
7,9,train,normal,44
8,9,train,normal,44
9,9,train,normal,44
10,9,train,normal,44
1,10,train,normal,45
2,10,train,normal,45
3,10,train,normal,45
4,10,train,normal,45
5,10,train,normal,45
6,10,train,normal,45
7,10,train,normal,45
8,10,train,normal,45
9,10,train,normal,45
10,10,train,normal,45
1,1,test,tumor,6
2,1,test,tumor,6
3,1,test,tumor,6
4,1,test,tumor,6
5,1,test,tumor,6
6,1,test,tumor,6
7,1,test,tumor,6
8,1,test,tumor,6
9,1,test,tumor,6
10,1,test,tumor,6
1,2,test,tumor,6
2,2,test,tumor,6
3,2,test,tumor,6
4,2,test,tumor,6
5,2,test,tumor,6
6,2,test,tumor,6
7,2,test,tumor,6
8,2,test,tumor,6
9,2,test,tumor,6
10,2,test,tumor,6
1,3,test,tumor,6
2,3,test,tumor,6
3,3,test,tumor,6
4,3,test,tumor,6
5,3,test,tumor,6
6,3,test,tumor,6
7,3,test,tumor,6
8,3,test,tumor,6
9,3,test,tumor,6
10,3,test,tumor,6
1,4,test,tumor,6
2,4,test,tumor,6
3,4,test,tumor,6
4,4,test,tumor,6
5,4,test,tumor,6
6,4,test,tumor,6
7,4,test,tumor,6
8,4,test,tumor,6
9,4,test,tumor,6
10,4,test,tumor,6
1,5,test,tumor,6
2,5,test,tumor,6
3,5,test,tumor,6
4,5,test,tumor,6
5,5,test,tumor,6
6,5,test,tumor,6
7,5,test,tumor,6
8,5,test,tumor,6
9,5,test,tumor,6
10,5,test,tumor,6
1,6,test,tumor,6
